,VA,VB,Fre,Temp,temp_2m,shortwave_radiation,wind_speed_10m,pressure_msl,cloud_cover,Generacion_Solar
2026-04-27 22:00:00,127.2136111111111,127.2298611111111,59.9938888888889,18.89887640449438,7.2,0.0,1.5,695.2,91,0.0
2026-04-27 23:00:00,127.33602564102566,127.38307692307691,59.99358974358975,18.77974683544304,6.3,0.0,3.4,694.5,41,0.0
2026-04-28 00:00:00,127.71444444444444,127.73444444444443,59.98305555555555,18.678571428571427,7.0,0.0,4.9,695.0,41,0.0
2026-04-28 01:00:00,128.29641791044776,128.32567164179105,59.99074626865672,18.446511627906972,5.6,0.0,1.7,692.8,95,0.0
2026-04-28 02:00:00,128.45985714285715,128.49871428571427,59.99328571428571,18.38,5.6,0.0,2.2,692.6,94,0.0
2026-04-28 03:00:00,128.52890410958904,128.53890410958903,59.990410958904114,18.23827160493827,5.8,0.0,1.9,692.1,77,0.0
2026-04-28 04:00:00,128.372676056338,128.4049295774648,59.98267605633802,18.16172839506173,6.1,0.0,1.2,692.5,2,0.0
2026-04-28 05:00:00,126.26458333333332,126.29083333333334,59.98027777777778,18.050666666666665,6.3,0.0,1.1,692.9,0,0.0
2026-04-28 06:00:00,125.3790410958904,125.42013698630136,59.98328767123287,17.94457831325301,6.1,0.0,1.6,693.0,1,0.0
2026-04-28 07:00:00,124.66973684210524,124.7082894736842,59.986578947368415,18.108219178082194,6.7,57.0,2.8,694.8,99,0.0114
2026-04-28 08:00:00,124.12641791044776,124.16462686567164,59.99358208955224,18.360526315789475,10.0,270.0,4.6,698.4,49,0.054
2026-04-28 09:00:00,125.45378378378378,125.47310810810812,59.99013513513514,18.62368421052632,11.9,495.0,6.8,699.5,76,0.099
2026-04-28 10:00:00,122.9048611111111,122.93722222222222,59.98916666666667,18.80649350649351,13.0,693.0,9.7,700.0,72,0.1386
2026-04-28 11:00:00,121.88319444444444,122.0261111111111,59.994027777777774,19.305194805194805,13.8,739.0,11.6,699.8,66,0.14780000000000001
2026-04-28 12:00:00,123.79527777777778,123.81916666666666,59.989583333333336,19.79642857142857,13.8,755.0,12.8,699.2,81,0.151
2026-04-28 13:00:00,125.119375,125.13775,59.98825000000001,19.56022727272727,12.2,648.0,10.3,698.1,54,0.1296
2026-04-28 14:00:00,124.57184210526314,124.59039473684211,59.99407894736842,19.80123456790124,13.4,642.0,9.3,697.9,60,0.12840000000000001
2026-04-28 15:00:00,124.53144736842104,124.53631578947368,59.99118421052631,19.72658227848101,13.1,600.0,9.4,697.1,87,0.12
2026-04-28 16:00:00,124.22240506329112,124.24481012658228,59.99063291139241,19.61558441558441,12.7,406.0,7.8,696.6,69,0.08120000000000001
2026-04-28 17:00:00,124.6455421686747,124.68855421686746,59.98795180722892,19.51710526315789,12.0,298.0,8.0,695.9,70,0.0596
2026-04-28 18:00:00,123.7102985074627,123.75761194029852,59.98641791044776,19.38783783783784,10.2,102.0,6.0,695.7,80,0.0204
2026-04-28 19:00:00,124.02662337662336,124.05766233766236,59.9938961038961,19.396470588235296,8.5,1.0,4.8,694.7,89,0.0002
2026-04-28 20:00:00,125.21453333333334,125.24373333333334,59.99946666666667,19.17441860465116,9.0,0.0,5.7,696.2,100,0.0
2026-04-28 21:00:00,125.9586301369863,125.95917808219178,59.985205479452055,19.00506329113924,8.4,0.0,5.9,696.3,100,0.0
2026-04-28 22:00:00,126.7784722222222,126.82125,59.989583333333336,19.041772151898734,8.3,0.0,5.7,696.9,81,0.0
2026-04-28 23:00:00,127.55246753246756,127.57974025974023,59.99077922077922,18.8675,7.7,0.0,4.3,695.7,99,0.0
2026-04-29 00:00:00,127.6695945945946,127.692027027027,59.99175675675677,18.74,6.9,0.0,6.1,694.4,88,0.0
2026-04-29 01:00:00,127.76777777777778,127.79,59.985972222222216,18.64342105263158,6.5,0.0,3.3,693.8,100,0.0
2026-04-29 02:00:00,128.1990909090909,128.22151515151518,59.9969696969697,18.509638554216867,6.0,0.0,4.7,692.9,99,0.0
2026-04-29 03:00:00,127.70162162162164,127.70297297297296,59.98891891891892,18.43132530120482,5.6,0.0,3.8,692.2,57,0.0
2026-04-29 04:00:00,127.36720588235292,127.38764705882352,59.99308823529413,18.374358974358973,5.9,0.0,4.3,692.2,45,0.0
2026-04-29 05:00:00,125.587,125.573,59.98828571428572,18.224,5.8,0.0,3.9,692.0,51,0.0
2026-04-29 06:00:00,122.92394736842104,122.94276315789472,59.98486842105264,18.18641975308642,6.1,0.0,3.8,692.5,47,0.0
