createAt,Temp
2026-04-26 18:00:00,22.259999999999998
2026-04-26 18:15:00,19.991666666666667
2026-04-26 18:30:00,20.66315789473684
2026-04-26 18:45:00,19.847058823529412
2026-04-26 19:00:00,19.744444444444444
2026-04-26 19:15:00,19.531578947368423
2026-04-26 19:30:00,19.4
2026-04-26 19:45:00,19.241176470588236
2026-04-26 20:00:00,20.0
2026-04-26 20:15:00,19.685
2026-04-26 20:30:00,19.15
2026-04-26 20:45:00,19.1
2026-04-26 21:00:00,19.1
2026-04-26 21:15:00,19.07857142857143
2026-04-26 21:30:00,19.026315789473685
2026-04-26 21:45:00,19.1
2026-04-26 22:00:00,19.1
2026-04-26 22:15:00,19.1
2026-04-26 22:30:00,19.1
2026-04-26 22:45:00,19.1
2026-04-26 23:00:00,19.1
2026-04-26 23:15:00,19.052380952380954
2026-04-26 23:30:00,19.0
2026-04-26 23:45:00,
2026-04-27 00:00:00,19.0
2026-04-27 00:15:00,18.99047619047619
2026-04-27 00:30:00,18.9
2026-04-27 00:45:00,18.9
2026-04-27 01:00:00,18.804761904761907
2026-04-27 01:15:00,18.8
2026-04-27 01:30:00,18.8
2026-04-27 01:45:00,18.763636363636365
2026-04-27 02:00:00,18.7
2026-04-27 02:15:00,18.7
2026-04-27 02:30:00,18.7
2026-04-27 02:45:00,18.7
2026-04-27 03:00:00,18.7
2026-04-27 03:15:00,18.69090909090909
2026-04-27 03:30:00,18.6
2026-04-27 03:45:00,18.6
2026-04-27 04:00:00,18.6
2026-04-27 04:15:00,18.595238095238095
2026-04-27 04:30:00,18.5
2026-04-27 04:45:00,18.5
2026-04-27 05:00:00,18.5
2026-04-27 05:15:00,18.5
2026-04-27 05:30:00,18.5
2026-04-27 05:45:00,18.5
2026-04-27 06:00:00,18.5
2026-04-27 06:15:00,18.46
2026-04-27 06:30:00,18.442105263157895
2026-04-27 06:45:00,18.645454545454545
2026-04-27 07:00:00,18.59
2026-04-27 07:15:00,18.5
2026-04-27 07:30:00,18.5
2026-04-27 07:45:00,18.5
2026-04-27 08:00:00,18.5
2026-04-27 08:15:00,18.566666666666666
2026-04-27 08:30:00,18.715
2026-04-27 08:45:00,18.80952380952381
2026-04-27 09:00:00,18.905882352941177
2026-04-27 09:15:00,19.029411764705884
2026-04-27 09:30:00,19.1
2026-04-27 09:45:00,19.1
2026-04-27 10:00:00,19.123809523809523
2026-04-27 10:15:00,19.31578947368421
2026-04-27 10:30:00,19.533333333333335
2026-04-27 10:45:00,19.723809523809525
2026-04-27 11:00:00,19.94736842105263
2026-04-27 11:15:00,20.05454545454546
2026-04-27 11:30:00,20.122727272727275
2026-04-27 11:45:00,20.2
2026-04-27 12:00:00,20.157894736842106
2026-04-27 12:15:00,20.2
2026-04-27 12:30:00,20.11111111111111
2026-04-27 12:45:00,19.957894736842103
2026-04-27 13:00:00,19.9
2026-04-27 13:15:00,19.9
2026-04-27 13:30:00,19.870588235294118
2026-04-27 13:45:00,19.746666666666666
2026-04-27 14:00:00,19.7
2026-04-27 14:15:00,19.610526315789475
2026-04-27 14:30:00,19.6
2026-04-27 14:45:00,19.51764705882353
2026-04-27 15:00:00,19.575
2026-04-27 15:15:00,19.52
2026-04-27 15:30:00,19.52
2026-04-27 15:45:00,19.705263157894734
2026-04-27 16:00:00,19.8
2026-04-27 16:15:00,19.711764705882352
2026-04-27 16:30:00,19.66190476190476
2026-04-27 16:45:00,19.51764705882353
2026-04-27 17:00:00,19.5
2026-04-27 17:15:00,19.5
2026-04-27 17:30:00,19.48235294117647
2026-04-27 17:45:00,19.4
2026-04-27 18:00:00,19.349999999999998
2026-04-27 18:15:00,19.3
2026-04-27 18:30:00,19.235294117647058
2026-04-27 18:45:00,19.2
2026-04-27 19:00:00,19.3
2026-04-27 19:15:00,19.4
2026-04-27 19:30:00,19.317391304347826
2026-04-27 19:45:00,19.2
2026-04-27 20:00:00,19.116666666666667
2026-04-27 20:15:00,19.2
2026-04-27 20:30:00,19.2
2026-04-27 20:45:00,19.105
2026-04-27 21:00:00,19.05714285714286
2026-04-27 21:15:00,19.1
2026-04-27 21:30:00,19.005000000000003
2026-04-27 21:45:00,19.0
2026-04-27 22:00:00,18.943478260869565
2026-04-27 22:15:00,18.9
2026-04-27 22:30:00,18.9
2026-04-27 22:45:00,18.852173913043476
2026-04-27 23:00:00,18.8
2026-04-27 23:15:00,18.8
2026-04-27 23:30:00,18.8
2026-04-27 23:45:00,18.715789473684207
2026-04-28 00:00:00,18.7
2026-04-28 00:15:00,18.7
2026-04-28 00:30:00,18.7
2026-04-28 00:45:00,18.614285714285717
2026-04-28 01:00:00,18.535
2026-04-28 01:15:00,18.461904761904762
2026-04-28 01:30:00,18.4
2026-04-28 01:45:00,18.4
2026-04-28 02:00:00,18.4
2026-04-28 02:15:00,18.4
2026-04-28 02:30:00,18.4
2026-04-28 02:45:00,18.316666666666666
2026-04-28 03:00:00,18.3
2026-04-28 03:15:00,18.257894736842104
2026-04-28 03:30:00,18.2
2026-04-28 03:45:00,18.2
2026-04-28 04:00:00,18.2
2026-04-28 04:15:00,18.2
2026-04-28 04:30:00,18.165
2026-04-28 04:45:00,18.1
2026-04-28 05:00:00,18.1
2026-04-28 05:15:00,18.1
2026-04-28 05:30:00,18.02173913043478
2026-04-28 05:45:00,17.988235294117647
2026-04-28 06:00:00,17.9
2026-04-28 06:15:00,17.9
2026-04-28 06:30:00,17.9
2026-04-28 06:45:00,18.076190476190476
2026-04-28 07:00:00,18.1
2026-04-28 07:15:00,18.1
2026-04-28 07:30:00,18.1
2026-04-28 07:45:00,18.13529411764706
2026-04-28 08:00:00,18.226315789473684
2026-04-28 08:15:00,18.3
2026-04-28 08:30:00,18.43333333333333
2026-04-28 08:45:00,18.5
2026-04-28 09:00:00,18.5
2026-04-28 09:15:00,18.589473684210528
2026-04-28 09:30:00,18.67142857142857
2026-04-28 09:45:00,18.727777777777778
2026-04-28 10:00:00,18.8
2026-04-28 10:15:00,18.8
2026-04-28 10:30:00,18.8
2026-04-28 10:45:00,18.826315789473682
2026-04-28 11:00:00,18.96
2026-04-28 11:15:00,19.21
2026-04-28 11:30:00,19.452631578947365
2026-04-28 11:45:00,19.63888888888889
2026-04-28 12:00:00,19.7
2026-04-28 12:15:00,19.770833333333332
2026-04-28 12:30:00,19.87272727272727
2026-04-28 12:45:00,19.852941176470587
2026-04-28 13:00:00,19.70952380952381
2026-04-28 13:15:00,19.53913043478261
2026-04-28 13:30:00,19.5
2026-04-28 13:45:00,19.5
2026-04-28 14:00:00,19.6875
2026-04-28 14:15:00,19.961111111111112
2026-04-28 14:30:00,19.86190476190476
2026-04-28 14:45:00,19.72222222222222
2026-04-28 15:00:00,19.736842105263158
2026-04-28 15:15:00,19.77777777777778
2026-04-28 15:30:00,19.7
2026-04-28 15:45:00,19.7
2026-04-28 16:00:00,19.66
2026-04-28 16:15:00,19.6
2026-04-28 16:30:00,19.6
2026-04-28 16:45:00,19.6
2026-04-28 17:00:00,19.565
2026-04-28 17:15:00,19.5
2026-04-28 17:30:00,19.5
2026-04-28 17:45:00,19.5
2026-04-28 18:00:00,19.46315789473684
2026-04-28 18:15:00,19.4
2026-04-28 18:30:00,19.376470588235293
2026-04-28 18:45:00,19.3
2026-04-28 19:00:00,19.347368421052632
2026-04-28 19:15:00,19.490909090909092
2026-04-28 19:30:00,19.44285714285714
2026-04-28 19:45:00,19.304347826086957
2026-04-28 20:00:00,19.27058823529412
2026-04-28 20:15:00,19.2
2026-04-28 20:30:00,19.14761904761905
2026-04-28 20:45:00,19.1
2026-04-28 21:00:00,19.1
2026-04-28 21:15:00,19.022727272727273
2026-04-28 21:30:00,18.923529411764704
2026-04-28 21:45:00,18.96666666666667
2026-04-28 22:00:00,19.0
2026-04-28 22:15:00,19.15
2026-04-28 22:30:00,19.031578947368423
2026-04-28 22:45:00,19.0
2026-04-28 23:00:00,18.95
2026-04-28 23:15:00,18.9
2026-04-28 23:30:00,18.827272727272728
2026-04-28 23:45:00,18.8
2026-04-29 00:00:00,18.8
2026-04-29 00:15:00,18.755000000000003
2026-04-29 00:30:00,18.7
2026-04-29 00:45:00,18.7
2026-04-29 01:00:00,18.7
2026-04-29 01:15:00,18.670588235294115
2026-04-29 01:30:00,18.6
2026-04-29 01:45:00,18.6
2026-04-29 02:00:00,18.542105263157897
2026-04-29 02:15:00,18.5
2026-04-29 02:30:00,18.5
2026-04-29 02:45:00,18.5
2026-04-29 03:00:00,18.5
2026-04-29 03:15:00,18.425
2026-04-29 03:30:00,18.4
2026-04-29 03:45:00,18.4
2026-04-29 04:00:00,18.4
2026-04-29 04:15:00,18.4
2026-04-29 04:30:00,18.4
2026-04-29 04:45:00,18.30909090909091
2026-04-29 05:00:00,18.3
2026-04-29 05:15:00,18.2
2026-04-29 05:30:00,18.2
2026-04-29 05:45:00,18.2
2026-04-29 06:00:00,18.2
2026-04-29 06:15:00,18.2
2026-04-29 06:30:00,18.1
2026-04-29 06:45:00,18.24736842105263
2026-04-29 07:00:00,18.4
2026-04-29 07:15:00,18.4
2026-04-29 07:30:00,18.419999999999998
2026-04-29 07:45:00,18.442105263157895
2026-04-29 08:00:00,18.4
2026-04-29 08:15:00,18.481818181818184
2026-04-29 08:30:00,18.526315789473685
2026-04-29 08:45:00,18.668
2026-04-29 09:00:00,18.7
2026-04-29 09:15:00,18.7
2026-04-29 09:30:00,18.705263157894734
2026-04-29 09:45:00,18.8
2026-04-29 10:00:00,18.958823529411767
2026-04-29 10:15:00,19.216666666666665
2026-04-29 10:30:00,19.545454545454547
2026-04-29 10:45:00,19.78181818181818
2026-04-29 11:00:00,19.894736842105264
2026-04-29 11:15:00,20.077272727272728
2026-04-29 11:30:00,20.116666666666667
2026-04-29 11:45:00,20.128571428571426
2026-04-29 12:00:00,19.861904761904764
2026-04-29 12:15:00,19.785714285714285
2026-04-29 12:30:00,19.7
2026-04-29 12:45:00,19.7
2026-04-29 13:00:00,19.77777777777778
2026-04-29 13:15:00,19.9
2026-04-29 13:30:00,19.9
2026-04-29 13:45:00,19.805555555555557
2026-04-29 14:00:00,19.82
2026-04-29 14:15:00,19.9
2026-04-29 14:30:00,19.844444444444445
2026-04-29 14:45:00,19.845
2026-04-29 15:00:00,19.9
2026-04-29 15:15:00,19.9
2026-04-29 15:30:00,19.9
2026-04-29 15:45:00,19.9
2026-04-29 16:00:00,19.96666666666667
