createAt,VA,VB,Fre
2026-04-26 10:00:00,125.61545454545454,125.68,59.98227272727272
2026-04-26 11:00:00,125.10142857142857,125.07571428571428,59.99571428571429
2026-04-26 12:00:00,,,
2026-04-26 13:00:00,,,
2026-04-26 14:00:00,126.35000000000001,126.3,59.95666666666667
2026-04-26 15:00:00,126.21416666666666,126.22874999999999,59.99916666666667
2026-04-26 16:00:00,125.78684210526315,125.8,59.984078947368424
2026-04-26 17:00:00,126.0456338028169,126.08549295774648,59.98774647887324
2026-04-26 18:00:00,125.74444444444444,125.75679012345678,59.98111111111111
2026-04-26 19:00:00,124.85453333333334,124.88386666666665,59.989866666666664
2026-04-26 20:00:00,125.43546666666667,125.46973333333332,59.988933333333335
2026-04-26 21:00:00,126.75958333333334,126.79958333333333,59.988749999999996
2026-04-26 22:00:00,127.05707317073171,127.07524390243903,59.99219512195121
2026-04-26 23:00:00,127.51025974025973,127.51714285714286,59.9938961038961
2026-04-27 00:00:00,127.90935064935066,127.94792207792207,59.997142857142855
2026-04-27 01:00:00,128.40194805194807,128.40350649350648,59.98779220779221
2026-04-27 02:00:00,128.43268292682927,128.465,59.99414634146342
2026-04-27 03:00:00,128.14278481012659,128.1460759493671,59.9926582278481
2026-04-27 04:00:00,128.17820512820512,128.20538461538462,59.989487179487185
2026-04-27 05:00:00,126.2838888888889,126.31375,59.99152777777778
2026-04-27 06:00:00,123.3091304347826,123.33985507246378,59.989420289855076
2026-04-27 07:00:00,123.96173333333334,123.94746666666666,59.98906666666667
2026-04-27 08:00:00,124.40293333333332,124.42160000000001,59.98973333333333
2026-04-27 09:00:00,125.48166666666667,125.52749999999999,59.99458333333333
2026-04-27 10:00:00,123.59625,123.64111111111112,59.98472222222222
2026-04-27 11:00:00,122.50380281690141,122.50760563380283,59.9930985915493
2026-04-27 12:00:00,124.12546666666667,124.14653333333332,59.9912
2026-04-27 13:00:00,124.74094594594594,124.78216216216215,59.991756756756764
2026-04-27 14:00:00,124.6412658227848,124.66,59.992911392405055
2026-04-27 15:00:00,125.21578947368421,125.2661842105263,59.990526315789474
2026-04-27 16:00:00,124.67053333333334,124.67920000000001,59.9868
2026-04-27 17:00:00,124.77263888888888,124.78180555555554,59.990833333333335
2026-04-27 18:00:00,124.85058823529413,124.87985294117647,59.99088235294118
2026-04-27 19:00:00,124.28458333333333,124.31958333333334,59.9938888888889
2026-04-27 20:00:00,125.43986666666666,125.46853333333333,59.98626666666667
2026-04-27 21:00:00,126.9530303030303,126.99772727272727,59.98772727272728
2026-04-27 22:00:00,127.2136111111111,127.2298611111111,59.9938888888889
2026-04-27 23:00:00,127.33602564102566,127.38307692307691,59.993589743589745
2026-04-28 00:00:00,127.71444444444445,127.73444444444443,59.98305555555555
2026-04-28 01:00:00,128.29641791044776,128.32567164179105,59.99074626865672
2026-04-28 02:00:00,128.45985714285715,128.49871428571427,59.99328571428571
2026-04-28 03:00:00,128.52890410958904,128.53890410958905,59.990410958904114
2026-04-28 04:00:00,128.372676056338,128.4049295774648,59.98267605633802
2026-04-28 05:00:00,126.26458333333332,126.29083333333334,59.98027777777778
2026-04-28 06:00:00,125.37904109589041,125.42013698630137,59.98328767123287
2026-04-28 07:00:00,124.66973684210525,124.7082894736842,59.986578947368415
2026-04-28 08:00:00,124.12641791044776,124.16462686567165,59.99358208955224
2026-04-28 09:00:00,125.45378378378378,125.47310810810811,59.99013513513514
2026-04-28 10:00:00,122.9048611111111,122.93722222222222,59.98916666666667
2026-04-28 11:00:00,121.88319444444444,122.0261111111111,59.994027777777774
2026-04-28 12:00:00,123.79527777777778,123.81916666666666,59.989583333333336
2026-04-28 13:00:00,125.11937499999999,125.13775000000001,59.98825000000001
2026-04-28 14:00:00,124.57184210526314,124.59039473684211,59.99407894736842
2026-04-28 15:00:00,124.53144736842104,124.53631578947369,59.99118421052631
2026-04-28 16:00:00,124.22240506329113,124.24481012658228,59.99063291139241
2026-04-28 17:00:00,124.6455421686747,124.68855421686746,59.98795180722892
2026-04-28 18:00:00,123.7102985074627,123.75761194029852,59.98641791044776
