createAt,VA,VB,Fre
2026-04-26 10:30:00,125.69125,125.76375,59.985
2026-04-26 10:45:00,125.57214285714285,125.63214285714285,59.980714285714285
2026-04-26 11:00:00,125.10142857142857,125.07571428571428,59.99571428571429
2026-04-26 11:15:00,,,
2026-04-26 11:30:00,,,
2026-04-26 11:45:00,,,
2026-04-26 12:00:00,,,
2026-04-26 12:15:00,,,
2026-04-26 12:30:00,,,
2026-04-26 12:45:00,,,
2026-04-26 13:00:00,,,
2026-04-26 13:15:00,,,
2026-04-26 13:30:00,,,
2026-04-26 13:45:00,,,
2026-04-26 14:00:00,,,
2026-04-26 14:15:00,,,
2026-04-26 14:30:00,126.5,126.34,59.94
2026-04-26 14:45:00,126.275,126.28,59.965
2026-04-26 15:00:00,126.44,126.38499999999999,60.035
2026-04-26 15:15:00,125.89333333333333,125.94333333333333,60.03
2026-04-26 15:30:00,126.57,126.54,59.973333333333336
2026-04-26 15:45:00,126.17937500000001,126.204375,59.99375
2026-04-26 16:00:00,124.15045454545454,124.17454545454547,59.98636363636364
2026-04-26 16:15:00,124.80250000000001,124.83666666666666,59.990833333333335
2026-04-26 16:30:00,127.21210526315791,127.1584210526316,59.97578947368421
2026-04-26 16:45:00,126.68826086956521,126.73521739130435,59.98521739130435
2026-04-26 17:00:00,125.85761904761904,125.91523809523808,59.98952380952381
2026-04-26 17:15:00,126.0425,126.15166666666666,59.9725
2026-04-26 17:30:00,126.38105263157894,126.41,59.99157894736842
2026-04-26 17:45:00,125.92,125.90736842105262,59.99157894736842
2026-04-26 18:00:00,126.50368421052633,126.53421052631579,59.97631578947368
2026-04-26 18:15:00,125.60545454545455,125.61409090909092,59.98409090909092
2026-04-26 18:30:00,125.54913043478261,125.55260869565218,59.98347826086956
2026-04-26 18:45:00,125.34000000000002,125.34882352941176,59.97941176470588
2026-04-26 19:00:00,125.148125,125.155,59.98125
2026-04-26 19:15:00,124.10499999999999,124.13888888888889,59.99222222222222
2026-04-26 19:30:00,124.78526315789475,124.84368421052632,59.99894736842106
2026-04-26 19:45:00,125.31409090909091,125.3309090909091,59.98636363636364
2026-04-26 20:00:00,125.00833333333334,125.0538888888889,59.99166666666666
2026-04-26 20:15:00,125.35157894736841,125.38157894736842,59.98684210526316
2026-04-26 20:30:00,125.51809523809524,125.57476190476191,59.99238095238095
2026-04-26 20:45:00,125.87941176470588,125.87882352941176,59.984117647058824
2026-04-26 21:00:00,126.76631578947368,126.78526315789475,59.99526315789474
2026-04-26 21:15:00,127.26117647058824,127.28176470588235,59.99411764705882
2026-04-26 21:30:00,126.94421052631579,126.98736842105264,59.986315789473686
2026-04-26 21:45:00,126.04411764705883,126.12352941176471,59.97882352941176
2026-04-26 22:00:00,126.6285,126.63,59.988
2026-04-26 22:15:00,127.34611111111111,127.36222222222221,59.98722222222222
2026-04-26 22:30:00,127.378,127.40350000000001,60.00599999999999
2026-04-26 22:45:00,126.93,126.9575,59.98791666666667
2026-04-26 23:00:00,127.351,127.3385,59.9995
2026-04-26 23:15:00,127.69857142857143,127.68238095238095,59.99666666666667
2026-04-26 23:30:00,127.406875,127.430625,59.9825
2026-04-26 23:45:00,127.5545,127.5915,59.9945
2026-04-27 00:00:00,127.72782608695653,127.79260869565218,60.006956521739134
2026-04-27 00:15:00,127.94555555555556,127.94333333333333,60.001666666666665
2026-04-27 00:30:00,127.96000000000001,127.99882352941177,59.98705882352941
2026-04-27 00:45:00,128.04947368421054,128.09473684210528,59.989999999999995
2026-04-27 01:00:00,128.1661111111111,128.19944444444445,59.992777777777775
2026-04-27 01:15:00,128.39100000000002,128.3965,59.984
2026-04-27 01:30:00,128.5715,128.531,59.985
2026-04-27 01:45:00,128.4584210526316,128.47,59.989999999999995
2026-04-27 02:00:00,128.53636363636363,128.59,59.99454545454546
2026-04-27 02:15:00,128.70142857142858,128.71904761904761,59.99666666666667
2026-04-27 02:30:00,128.4282608695652,128.4608695652174,59.99173913043478
2026-04-27 02:45:00,127.94375,127.965625,59.99375
2026-04-27 03:00:00,127.8,127.8045,60.0015
2026-04-27 03:15:00,127.99818181818182,128.00454545454545,59.99272727272727
2026-04-27 03:30:00,128.35789473684213,128.36736842105265,59.98736842105263
2026-04-27 03:45:00,128.47333333333333,128.465,59.98833333333333
2026-04-27 04:00:00,128.4022222222222,128.43388888888887,59.978333333333325
2026-04-27 04:15:00,127.77850000000001,127.8185,59.996500000000005
2026-04-27 04:30:00,128.32,128.3315,59.989
2026-04-27 04:45:00,128.2345,128.2605,59.992999999999995
2026-04-27 05:00:00,127.62529411764706,127.65,60.00235294117647
2026-04-27 05:15:00,127.1905,127.2065,59.984500000000004
2026-04-27 05:30:00,126.58999999999999,126.636,59.98133333333333
2026-04-27 05:45:00,124.00750000000001,124.0435,59.997
2026-04-27 06:00:00,122.80705882352943,122.80823529411764,59.98705882352941
2026-04-27 06:15:00,120.7,120.73473684210526,59.99473684210527
2026-04-27 06:30:00,124.56266666666667,124.58466666666666,59.983333333333334
2026-04-27 06:45:00,125.49277777777777,125.55444444444444,59.99111111111111
2026-04-27 07:00:00,123.86764705882354,123.87117647058824,59.991176470588236
2026-04-27 07:15:00,124.14944444444444,124.15166666666667,59.99222222222222
2026-04-27 07:30:00,124.1135,124.05,59.9895
2026-04-27 07:45:00,123.721,123.726,59.984
2026-04-27 08:00:00,124.33176470588235,124.37235294117647,59.98176470588235
2026-04-27 08:15:00,124.8905,124.881,60.0
2026-04-27 08:30:00,123.80000000000001,123.85444444444445,59.982777777777784
2026-04-27 08:45:00,124.51849999999999,124.5145,59.99249999999999
2026-04-27 09:00:00,125.08055555555555,125.16777777777777,60.00277777777777
2026-04-27 09:15:00,126.08833333333334,126.11666666666666,59.98166666666667
2026-04-27 09:30:00,125.29947368421053,125.34842105263158,59.989999999999995
2026-04-27 09:45:00,125.46764705882352,125.48470588235296,60.004705882352944
2026-04-27 10:00:00,124.433125,124.485,59.98
2026-04-27 10:15:00,124.15764705882351,124.21588235294118,59.99470588235294
