Target,MAE,RMSE,MSE,R²,MAPE (%)
VA,0.479802,0.624872,0.390465,0.676741,98.30
VB,0.481904,0.628228,0.394670,0.674443,105.92
Generacion_Solar,0.294280,0.431867,0.186509,0.744303,1528.75
